# Column descriptions:
# id	Object ID, according to EcoCyc
# protein-count-avg	A floating point number
# protein-count-std	A floating point number
# protein-concentration-avg	A floating point number in mM units
# protein-concentration-std	A floating point number in mM units
# relative-protein-count-to-protein-rna-counts	A floating point number
# relative-protein-mass-to-total-protein-mass	A floating point number
# relative-protein-mass-to-total-cell-dry-mass	A floating point number
# validation-count	A floating point number
id	protein-count-avg	protein-count-std	protein-concentration-avg	protein-concentration-std	relative-protein-count-to-protein-rna-counts	relative-protein-mass-to-total-protein-mass	relative-protein-mass-to-total-cell-dry-mass	validation-count
ALARACEBIOSYN-MONOMER	80.06110650840598	29.25600711800204	0.00009247041681793523	0.000028916710421163763	247.6923885935965	0.000024886050003740964	0.000010904639594132595	43.0
MODB-MONOMER	93.07196844014436	48.760157707078875	0.00010696161411331613	0.00005024791261288707	115.98451586717738	0.00001843358351697853	8.077279626568991e-6	56.0
EG10003-MONOMER	225.35435627380375	102.49530281982175	0.00025753345162272083	0.00009902310749547584	819.0561466070848	0.00005244684094903753	0.000022981304719474448	25.0
EG10004-MONOMER	246.88306731507134	89.65197379429007	0.0002834787627415041	0.00008268178640811322	379.77972513002936	0.00008514418368233355	0.00003730871859748342	2711.0
DCUB-MONOMER	5.275202185414152	21.43898877543397	5.967727822392278e-6	0.00002386092416924596	688.1253319171535	2.0076849460634158e-6	8.797330533409696e-7	929.0
HISM-MONOMER	177.9552637417889	69.47786576766808	0.00020483105585508043	0.00006826595486025189	195.35328911791126	0.000037973581088348355	0.00001663937088468282	3.0
HYDH-MONOMER	2.2660481173805156	4.108008138712023	2.6949777240129047e-6	4.834484228244958e-6	61.87261004891063	9.181806116916656e-7	4.02330970616579e-7	NaN
EG10011-MONOMER	480.1872950410885	172.11645095445078	0.0005522598941087637	0.00016101793525973533	1202.3454606617872	0.0001127942070783021	0.00004942448384978528	4588.0
CYDC-MONOMER	112.31360163824638	65.04073540644998	0.00012880971181573276	0.00006824188951910934	288.8175746059664	0.00005610936596138503	0.000024586160261360035	4675.0
EG10013-MONOMER	89.22609754161265	35.29779456057831	0.00010280043083113198	0.000034420912070215054	314.77425817941577	0.00003476010924832966	0.0000152312827286263	1917.0
ACRD-MONOMER	6.310572673773605	15.284031481733498	7.133512263738104e-6	0.000016880334857800763	306.75964773401944	5.6633704247413225e-6	2.4815916290689046e-6	NaN
EG10015-MONOMER	455.79258717941934	139.43491248747716	0.0005248236250766556	0.00011830549858755666	412.94219654245217	0.0001309580424682077	0.000057383564481074563	1448.0
KDGALDOL-MONOMER	5.846892766922405	22.7747500425202	6.5521415579311105e-6	0.000024561952865471064	739.909067490984	1.2709750389941713e-6	5.569194280043094e-7	939.0
OPPSYN-MONOMER	725.1602094219522	184.979049197487	0.0008350184498399148	0.0001336979412124348	554.1780030677041	0.0002026362986585771	0.00008879174498277672	14100.0
EG10018-MONOMER	22.22490264769764	19.008230318879484	0.000025568167009798992	0.000021059637942217846	118.16039869698379	0.00001294191044782497	5.670922829129402e-6	1802.0
CPXR-MONOMER	662.3257459944591	260.41355206109205	0.0007619264497533905	0.0002465659063343227	813.2433515291483	0.0001383205037926141	0.00006060966855369047	197.0
