p_expressed	max_monomer_counts	max_mRNA_counts	cistron_idx	gene_name	cistron_name	protein_name
0.25	700	1	6	EG10007	EG10007_RNA	HISM-MONOMER
0.75	165	2	8	EG10011	EG10011_RNA	EG10011-MONOMER
0.75	316	2	14	EG10017	EG10017_RNA	OPPSYN-MONOMER
0.75	54	2	16	EG10020	EG10020_RNA	CPXR-MONOMER
0.25	637	1	24	EG10028	EG10028_RNA	PFLACTENZ-MONOMER
0.75	9060	2	25	EG10029	EG10029_RNA	PD00230
0.5	177	1	28	EG10032	EG10032_RNA	ADENYL-KIN-MONOMER
0.5	27	1	31	EG10035	EG10035_RNA	LACTALDDEHYDROG-MONOMER
0.25	1524	1	32	EG10036	EG10036_RNA	ALDHDEHYDROG-MONOMER
0.5	58	2	34	EG10039	EG10039_RNA	AMP-NUCLEOSID-MONOMER
0.25	32	1	40	EG10045	EG10045_RNA	ANSA-MONOMER
0.75	22	1	41	EG10046	EG10046_RNA	ANSB-MONOMER
0.75	1057	1	42	EG10047	EG10047_RNA	EG10047-MONOMER
0.25	10061	1	46	EG10051	EG10051_RNA	ADENPRIBOSYLTRAN-MONOMER
0.25	15	1	47	EG10052	EG10052_RNA	ARABISOM-MONOMER
0.25	9	1	49	EG10054	EG10054_RNA	PD00242
0.75	20	1	50	EG10055	EG10055_RNA	RIBULPEPIM-MONOMER
0.5	368	2	51	EG10056	EG10056_RNA	ARAE-MONOMER
0.5	288	2	52	EG10057	EG10057_RNA	ARAF-MONOMER
0.5	271	2	53	EG10058	EG10058_RNA	ARAG-MONOMER
0.25	26	1	54	EG10059	EG10059_RNA	ARAH-MONOMER
0.5	1484	2	70	EG10075	EG10075_RNA	AROC-MONOMER
0.25	10	1	79	EG10084	EG10084_RNA	AROP-MONOMER
0.25	303	1	80	EG10085	EG10085_RNA	EG10085-MONOMER
0.25	3142	1	81	EG10086	EG10086_RNA	ASCF-MONOMER
0.25	17124	1	83	EG10088	EG10088_RNA	ASP-SEMIALDEHYDE-DEHYDROGENASE-MONOMER
0.75	1089	1	103	EG10108	EG10108_RNA	EG10108-MONOMER
0.75	3523	1	104	EG10109	EG10109_RNA	CHD-MONOMER
0.75	349	1	105	EG10110	EG10110_RNA	BADH-MONOMER
0.75	5150	2	106	EG10111	EG10111_RNA	PD00251
0.75	346	3	111	EG10116	EG10116_RNA	EG10116-MONOMER
0.75	135	1	116	EG10121	EG10121_RNA	7KAPSYN-MONOMER
0.25	1545	1	118	EG10123	EG10123_RNA	BIOTINLIG-MONOMER
0.75	169	2	121	EG10126	EG10126_RNA	EG10126-MONOMER
0.75	122	3	122	EG10127	EG10127_RNA	BTUC-MONOMER
0.75	1580	2	132	EG10137	EG10137_RNA	CYTIDEAM-MONOMER
0.75	62	1	134	EG10139	EG10139_RNA	CDPDIGLYSYN-MONOMER
0.75	72	1	135	EG10140	EG10140_RNA	CELA-MONOMER
0.75	56	1	136	EG10141	EG10141_RNA	CELB-MONOMER
0.75	2010	1	137	EG10142	EG10142_RNA	CELC-MONOMER
0.75	67	1	138	EG10143	EG10143_RNA	EG10143-MONOMER
0.25	36	1	139	EG10144	EG10144_RNA	EG10144-MONOMER
0.25	1223	1	155	EG10160	EG10160_RNA	CPDB-MONOMER
0.25	1590	1	156	EG10161	EG10161_RNA	MANNPGUANYLTRANGDP-MONOMER
0.25	133	1	168	EG10174	EG10174_RNA	CYDB-MONOMER
0.25	505	1	169	EG10175	EG10175_RNA	CYANLY-MONOMER
0.5	4201	1	181	EG10187	EG10187_RNA	SERINE-O-ACETTRAN-MONOMER
0.5	215	1	202	EG10209	EG10209_RNA	DIAMINOPIMEPIM-MONOMER
0.75	320	2	206	EG10213	EG10213_RNA	DALADALALIGA-MONOMER
0.5	1004	1	212	EG10219	EG10219_RNA	DEOA-MONOMER
0.5	1655	1	214	EG10221	EG10221_RNA	DEOXYRIBOSE-P-ALD-MONOMER
0.75	930	1	217	EG10224	EG10224_RNA	DIACYLGLYKIN-MONOMER
0.25	155	1	220	EG10227	EG10227_RNA	EG10227-MONOMER
0.25	59	1	224	EG10231	EG10231_RNA	DLACTDEHYDROGFAD-MONOMER
0.25	14	1	225	EG10232	EG10232_RNA	DMSA-MONOMER
0.25	17	1	226	EG10233	EG10233_RNA	DMSB-MONOMER
