name	reactions	genes	compounds
3-dehydroquinate biosynthesis I	DAHPSYN-RXN	EG10079 // EG10080 // EG10078	AROG-MONOMER // AROG-CPLX // AROH-MONOMER // AROH-CPLX // AROF-MONOMER // AROF-CPLX
3-dehydroquinate biosynthesis I	3-DEHYDROQUINATE-SYNTHASE-RXN	EG10074	AROB-MONOMER
superpathway of L-aspartate and L-asparagine biosynthesis	ASPARTASE-RXN	EG10095	ASPARTASE-MONOMER // ASPARTASE-CPLX
superpathway of L-aspartate and L-asparagine biosynthesis	ASPARAGHYD-RXN	EG10046 // EG10045 // EG12407	ANSB-MONOMER // ANSB-CPLX // ANSA-MONOMER // ANSA-CPLX // EG12407-MONOMER // MONOMER0-3 // MONOMER0-2 // CPLX0-263 // CPLX0-263
sulfate activation for sulfonation	ADENYLYLSULFKIN-RXN	EG10185	ADENYLYLSULFKIN-MONOMER // ADENYLYLSULFKIN-CPLX
sulfate activation for sulfonation	SULFATE-ADENYLYLTRANS-RXN	EG10186 // EG10194	CYSD-MONOMER // SULFATE-ADENYLYLTRANS-CPLX // CYSN-MONOMER // SULFATE-ADENYLYLTRANS-CPLX
bis(guanylyl molybdenum cofactor) biosynthesis	RXN-16457	EG11829	EG11829-MONOMER
bis(guanylyl molybdenum cofactor) biosynthesis	RXN-16456	EG11829	EG11829-MONOMER
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	RXN0-723	EG11417	MONOMER0-2863 // RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER // RIBONUCLEOSIDE-TRIP-REDUCT-CPLX // NRDACTMULTI-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	RXN0-724	EG11417	MONOMER0-2863 // RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER // RIBONUCLEOSIDE-TRIP-REDUCT-CPLX // NRDACTMULTI-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	RIBONUCLEOSIDE-DIP-REDUCTII-RXN	EG20257 // EG12381	NRDE-MONOMER // NRDE-CPLX // RIBONUCLEOSIDE-DIP-REDUCTII-CPLX // NRDF-MONOMER // NRDF-CPLX // RIBONUCLEOSIDE-DIP-REDUCTII-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	RXN0-722	EG20257 // EG12381	NRDE-MONOMER // NRDE-CPLX // RIBONUCLEOSIDE-DIP-REDUCTII-CPLX // NRDF-MONOMER // NRDF-CPLX // RIBONUCLEOSIDE-DIP-REDUCTII-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	CDPREDUCT-RXN	EG10660 // EG10661	NRDA-MONOMER // B1-CPLX // RIBONUCLEOSIDE-DIP-REDUCTI-CPLX // NRDB-MONOMER // B2-CPLX // RIBONUCLEOSIDE-DIP-REDUCTI-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	UDPREDUCT-RXN	EG10660 // EG10661	NRDA-MONOMER // B1-CPLX // RIBONUCLEOSIDE-DIP-REDUCTI-CPLX // NRDB-MONOMER // B2-CPLX // RIBONUCLEOSIDE-DIP-REDUCTI-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	DTDPKIN-RXN	EG10650 // EG10032	NUCLEOSIDE-DIP-KIN-MONOMER // NUCLEOSIDE-DIP-KIN-CPLX // ADENYL-KIN-MONOMER
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	DTMPKI-RXN	EG12302	DTMPKI-MONOMER // CPLX0-8260
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	THYMIDYLATESYN-RXN	EG11002	THYMIDYLATESYN-MONOMER // THYMIDYLATESYN-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	DUTP-PYROP-RXN	EG10251 // G7164	DUTP-PYROP-MONOMER // DUTP-PYROP-CPLX // G7164-MONOMER
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	DUDPKIN-RXN	EG10650	NUCLEOSIDE-DIP-KIN-MONOMER // NUCLEOSIDE-DIP-KIN-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	DCTP-DEAM-RXN	EG11418	DCTP-DEAM-MONOMER // DCTP-DEAM-CPLX
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	DCDPKIN-RXN	EG10650 // EG10032	NUCLEOSIDE-DIP-KIN-MONOMER // NUCLEOSIDE-DIP-KIN-CPLX // ADENYL-KIN-MONOMER
guanosine nucleotides degradation III	RXN0-5199	EG10222 // G85 // EG12159	DEOD-MONOMER // DEOD-CPLX // XANTHOSINEPHOSPHORY-MONOMER // XANTHOSINEPHOSPHORY-CPLX // EG12159-MONOMER // CPLX0-8619
guanosine nucleotides degradation III	RXN0-901	G7485 // G7486 // G7487	G7485-MONOMER // CPLX0-761 // G7486-MONOMER // CPLX0-761 // G7487-MONOMER // CPLX0-761
guanosine nucleotides degradation III	RXN-7609	G7742	G7742-MONOMER
guanosine nucleotides degradation III	GUANINE-DEAMINASE-RXN	G7502	G7502-MONOMER
ATP biosynthesis	ATPSYN-RXN	EG10102 // EG10103 // EG10099 // EG10100 // EG10105 // EG10098 // EG10104 // EG10101	ATPE-MONOMER // ATPE-CPLX // F-O-CPLX // ATPSYN-CPLX // ATPF-MONOMER // ATPF-CPLX // F-O-CPLX // ATPSYN-CPLX // ATPB-MONOMER // F-O-CPLX // ATPSYN-CPLX // ATPC-MONOMER // F-1-CPLX // ATPSYN-CPLX // ATPH-MONOMER // F-1-CPLX // ATPSYN-CPLX // ATPA-MONOMER // ATPA-CPLX // F-1-CPLX // ATPSYN-CPLX // ATPG-MONOMER // F-1-CPLX // ATPSYN-CPLX // ATPD-MONOMER // ATPD-CPLX // F-1-CPLX // ATPSYN-CPLX
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	AGMATIN-RXN	EG10960	AGMATIN-MONOMER // AGMATIN-CPLX
L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	ARGDECARBOX-RXN	EG10959 // EG11501	ARGDECARBOXBIO-MONOMER // ARGDECARBOXBIO-CPLX // ARGDECARBOXDEG-MONOMER // ARGDECARBOXDEG-CPLX
2-methylcitrate cycle I	METHYLISOCITRATE-LYASE-RXN	G6196	G6196-MONOMER // CPLX0-1021
2-methylcitrate cycle I	4.2.1.99-RXN	EG12316	ACONITATEDEHYDRB-MONOMER // CPLX0-7761
2-methylcitrate cycle I	2-METHYLCITRATE-DEHYDRATASE-RXN	G6199	G6199-MONOMER
2-methylcitrate cycle I	2-METHYLCITRATE-SYNTHASE-RXN	G6198	G6198-MONOMER // CPLX0-251
2-methylcitrate cycle I	PROPIONATE--COA-LIGASE-RXN	EG11448 // G6200	ACS-MONOMER // G6200-MONOMER
proline to cytochrome <i>bo</i> oxidase electron transfer	RXN0-5268	EG10181 // EG10178 // EG10179 // EG10180	CYOD-MONOMER // CYT-O-UBIOX-CPLX // CYOA-MONOMER // CYT-O-UBIOX-CPLX // CYOB-MONOMER // CYT-O-UBIOX-CPLX // CYOC-MONOMER // CYT-O-UBIOX-CPLX
proline to cytochrome <i>bo</i> oxidase electron transfer	RXN0-7008	EG10801	PUTA-MONOMER // PUTA-CPLX
pyrimidine nucleobases salvage I	URACIL-PRIBOSYLTRANS-RXN	EG11332	URACIL-PRIBOSYLTRANS-MONOMER // URACIL-PRIBOSYLTRANS-CPLX
thiamine diphosphate biosynthesis I (E. coli)	RXN-12611	EG11586	THIE-MONOMER
thiamine diphosphate biosynthesis I (E. coli)	THI-P-KIN-RXN	G6234	THI-P-KIN-MONOMER
glycine cleavage	GCVT-RXN	EG11442	GCVT-MONOMER // GCVMULTI-CPLX
glycine cleavage	GCVP-RXN	EG11810	GCVP-MONOMER // GCVP-CPLX // GCVMULTI-CPLX
glycine cleavage	RXN-8629	EG10543	E3-MONOMER // E3-CPLX // 2OXOGLUTARATEDEH-CPLX // GCVMULTI-CPLX // PYRUVATEDEH-CPLX
DpiBA Two-Component Signal Transduction System	RXN0-6271		
DpiBA Two-Component Signal Transduction System	RXN0-6272		
AtoSC Two-Component Signal Transduction System	RXN0-6502		
AtoSC Two-Component Signal Transduction System	ATOC-RXN		
ammonia assimilation cycle III	GLUTAMIN-RXN	G6810 // G6261 // EG10092	G6810-MONOMER // CPLX0-7695 // G6261-MONOMER // CPLX0-7694 // ASNSYNB-MONOMER // ASNSYNB-CPLX
ammonia assimilation cycle III	GLUTAMINESYN-RXN	EG10383	GLUTAMINESYN-MONOMER // ADENYLYL-GS // GLUTAMINESYN-OLIGOMER
ammonia assimilation cycle III	RXN-20084	EG10404 // EG10403	GLUSYNSMALL-MONOMER // GLUTAMATESYN-DIMER // GLUTAMATESYN-CPLX // GLUSYNLARGE-MONOMER // GLUTAMATESYN-DIMER // GLUTAMATESYN-CPLX
formaldehyde oxidation II (glutathione-dependent)	RXN-2962	EG50010	ADHC-MONOMER // ADHC-CPLX
formaldehyde oxidation II (glutathione-dependent)	RXN-2961		
formaldehyde oxidation II (glutathione-dependent)	S-FORMYLGLUTATHIONE-HYDROLASE-RXN	G6208 // EG12026	G6208-MONOMER // EG12026-MONOMER // CPLX0-3954
